无人机,烟幕弹序号,投放时间(s),引信时间(s),起爆时刻(s),结束时刻(s),速度(m/s),角度(度),投放坐标,爆炸坐标,遮蔽时长(s),干扰导弹编号
UAV2,3,2.143494803874546e-08,0.5000000024522435,0.5000000238871916,8.500000023887191,137.22178474498423,195.1017127603054,"(12000.00, 1400.00, 1400.00)","(11933.76, 1382.12, 1398.77)",7.999999999999999,1
UAV5,2,4.399719095937451,0.5512359238870519,4.950955019824503,12.950955019824503,129.5156502686429,279.63611627376383,"(11095.38, -1561.79, 1300.00)","(11107.33, -1632.18, 1298.51)",8.0,"1, 2"
UAV1,2,3.975245122746303,2.057372369816146,6.03261749256245,14.03261749256245,102.97038569737929,319.37489553700846,"(18110.68, -266.52, 1800.00)","(18271.47, -404.46, 1779.26)",8.0,"1, 2"
UAV4,2,7.623612796206482,2.5266684728958797,10.150281269102361,18.15028126910236,129.56022652849327,126.20537005195902,"(8416.57, 2796.99, 1500.00)","(8223.21, 3061.14, 1468.72)",8.0,2
UAV3,1,9.724823656081762,0.5083896260574785,10.233213282139241,18.23321328213924,139.5305953054254,199.62685042144716,"(4721.93, -3455.78, 700.00)","(4655.11, -3479.60, 698.73)",7.999999999999998,2
UAV1,3,11.684566311924174,1.1698909892962452,12.85445730122042,20.85445730122042,102.97038569737929,319.37489553700846,"(18713.18, -783.39, 1800.00)","(18804.62, -861.82, 1793.29)",8.000000000000002,"2, 3"
UAV3,2,14.84830618682391,0.5848840063299439,15.433190193153854,23.433190193153855,139.5305953054254,199.62685042144716,"(4048.58, -3695.90, 700.00)","(3971.71, -3723.31, 698.32)",8.000000000000002,"2, 3"
UAV5,1,17.592905852704444,0.8107539026190822,18.403659755323527,26.403659755323527,129.5156502686429,279.63611627376383,"(11381.41, -3246.41, 1300.00)","(11398.98, -3349.93, 1296.78)",8.0,"2, 3"
UAV3,3,16.58493496455936,1.8732593736659624,18.458194338225322,26.458194338225322,139.5305953054254,199.62685042144716,"(3820.34, -3777.29, 700.00)","(3574.15, -3865.09, 682.81)",8.0,"2, 3"
UAV2,2,18.696002623947145,0.5906751427043466,19.28667776665149,27.28667776665149,137.22178474498423,195.1017127603054,"(9523.10, 731.60, 1400.00)","(9444.85, 710.48, 1398.29)",8.0,"2, 3"
UAV4,1,20.33887016792601,1.415309407512534,21.754179575438545,29.754179575438545,129.56022652849327,126.20537005195902,"(7443.49, 4126.28, 1500.00)","(7335.18, 4274.24, 1490.18)",8.0,3
UAV5,3,20.721233681460056,2.426466065535057,23.147699746995112,31.147699746995112,129.5156502686429,279.63611627376383,"(11449.23, -3645.86, 1300.00)","(11501.83, -3955.69, 1271.15)",6.852300253004888,3
UAV1,1,24.84234521418366,0.5695560406421294,25.41190125482579,33.41190125482579,102.97038569737929,319.37489553700846,"(19741.51, -1665.55, 1800.00)","(19786.02, -1703.73, 1798.41)",4.588098745174211,3
UAV4,3,24.976915274260378,2.9601637588069454,27.937079033067324,35.93707903306732,129.56022652849327,126.20537005195902,"(7088.55, 4611.16, 1500.00)","(6862.01, 4920.62, 1457.06)",2.0629209669326762,3
UAV2,1,26.425907388430403,2.5354400728984334,28.961347461328835,36.961347461328835,137.22178474498423,195.1017127603054,"(8499.02, 455.25, 1400.00)","(8163.12, 364.61, 1368.50)",1.0386525386711654,3
