"category_id","name","parent_id","create_time"
"1","食品",,"2025-09-13 11:13:40.969413"
"2","服装",,"2025-09-13 11:13:40.969413"
"3","鞋子",,"2025-09-13 11:13:40.969413"
"4","配饰",,"2025-09-13 11:13:40.969413"
"5","电子产品",,"2025-09-13 11:13:40.969413"
"6","家电",,"2025-09-13 11:13:40.969413"
"7","家居",,"2025-09-13 11:13:40.969413"
"8","餐具",,"2025-09-13 11:13:40.969413"
"9","日用品",,"2025-09-13 11:13:40.969413"
"10","面食","1","2025-09-13 11:13:40.969413"
"11","糕点","1","2025-09-13 11:13:40.969413"
"12","上衣","2","2025-09-13 11:13:40.969413"
"14","运动鞋","3","2025-09-13 11:13:40.969413"
"15","帽子","4","2025-09-13 11:13:40.969413"
"16","手机","5","2025-09-13 11:13:40.969413"
"17","平板电脑","5","2025-09-13 11:13:40.969413"
"18","笔记本电脑","5","2025-09-13 11:13:40.969413"
"19","耳机","5","2025-09-13 11:13:40.969413"
"20","电视","6","2025-09-13 11:13:40.969413"
"21","冰箱","6","2025-09-13 11:13:40.969413"
"22","电饭煲","6","2025-09-13 11:13:40.969413"
"23","微波炉","6","2025-09-13 11:13:40.969413"
"24","沙发","7","2025-09-13 11:13:40.969413"
"25","床","7","2025-09-13 11:13:40.969413"
"26","椅子","7","2025-09-13 11:13:40.969413"
"27","桌子","7","2025-09-13 11:13:40.969413"
"28","枕头","7","2025-09-13 11:13:40.969413"
"29","茶杯","8","2025-09-13 11:13:40.969413"
"30","碗","8","2025-09-13 11:13:40.969413"
"31","盘子","8","2025-09-13 11:13:40.969413"
"32","筷子","8","2025-09-13 11:13:40.969413"
"33","勺子","8","2025-09-13 11:13:40.969413"
"34","洗衣液","9","2025-09-13 11:13:40.969413"
"35","洗发水","9","2025-09-13 11:13:40.969413"
"36","牙刷","9","2025-09-13 11:13:40.969413"
"37","牙膏","9","2025-09-13 11:13:40.969413"
"38","毛巾","9","2025-09-13 11:13:40.969413"
"39","冲调饮品","1","2025-09-13 11:13:40.969413"
"40","咖啡","39","2025-09-13 11:13:40.969413"
"41","茶包","39","2025-09-13 11:13:40.969413"
"42","清洁用品","7","2025-09-13 11:13:40.969413"
"43","地板清洁","42","2025-09-13 11:13:40.969413"
"13","裤子","2","2025-09-13 11:30:38.415678"
