cart_id,user_id,product_id,quantity,create_time
1,42,15,3,2021/7/18
2,87,7,2,2022/3/20
3,15,22,1,2021/11/20
4,63,10,4,2023/1/10
5,29,5,5,2022/8/25
6,74,12,2,2021/9/30
7,91,18,1,2022/5/15
8,56,25,3,2021/12/25
9,33,30,2,2023/4/25
10,68,8,1,2021/10/15
11,42,3,4,2022/7/18
12,87,20,2,2021/5/5
13,15,14,1,2023/3/20
14,63,9,3,2022/11/20
15,29,27,2,2021/8/25
16,74,16,1,2022/2/15
17,91,23,4,2023/7/10
18,56,2,2,2021/6/12
19,33,19,1,2022/9/30
20,68,28,3,2021/4/10
21,42,6,2,2023/5/15
22,87,11,1,2022/1/10
23,15,24,4,2021/12/25
24,63,1,2,2023/2/20
25,29,17,1,2022/6/25
26,74,26,3,2021/10/15
27,91,4,2,2023/8/10
28,56,21,1,2022/3/20
29,33,29,4,2021/7/18
30,68,13,2,2023/4/25
31,42,7,1,2022/11/20
32,87,22,3,2021/9/30
33,15,10,2,2023/1/10
34,63,5,1,2022/5/15
35,29,18,4,2021/12/25
36,74,25,2,2023/6/12
37,91,2,1,2022/2/15
38,56,19,3,2021/8/25
39,33,28,2,2023/7/10
40,68,8,1,2022/4/10
41,42,14,4,2021/11/20
42,87,23,2,2023/3/20
43,15,6,1,2022/9/30
44,63,12,3,2021/6/12
45,29,20,2,2023/5/15
46,74,27,1,2022/1/10
47,91,3,4,2021/10/15
48,56,16,2,2023/8/10
49,33,24,1,2022/3/20
50,68,9,3,2021/7/18
51,42,15,3,2021/7/18
52,1,1,50,2021/7/18
54,1,2,10,2025/2/9
